scope,model,probability_bin,bin_lower,bin_upper,nobs,mean_predicted,observed_rate,calibration_bias_pp
NSW1,statistical_control,5,0.5,0.6,90,0.552656540509063,0.6,-4.734345949093699
NSW1,statistical_control,6,0.6,0.7,112,0.650108115929814,0.7232142857142857,-7.310616978447171
NSW1,statistical_control,7,0.7,0.8,117,0.7526780517036232,0.7008547008547008,5.182335084892243
NSW1,statistical_control,8,0.8,0.9,158,0.8530342086316351,0.8417721518987342,1.1262056732900927
NSW1,statistical_control,9,0.9,1.0,195,0.9514486765989534,0.9692307692307692,-1.778209263181585
QLD1,statistical_control,0,0.0,0.1,6057,0.021557603601628447,0.025755324418028726,-0.41977208164002794
QLD1,statistical_control,1,0.1,0.2,519,0.14563993479342854,0.35645472061657035,-21.08147858231418
QLD1,statistical_control,2,0.2,0.3,299,0.2466889889638794,0.44481605351170567,-19.812706454782628
QLD1,statistical_control,3,0.3,0.4,264,0.3499671073598868,0.5265151515151515,-17.65480441552647
QLD1,statistical_control,4,0.4,0.5,187,0.44621173069998593,0.5561497326203209,-10.993800192033493
QLD1,statistical_control,5,0.5,0.6,118,0.5479315831343268,0.5847457627118644,-3.681417957753763
QLD1,statistical_control,6,0.6,0.7,117,0.6519660011790689,0.6324786324786325,1.9487368700436436
QLD1,statistical_control,7,0.7,0.8,159,0.7541404876915409,0.7672955974842768,-1.315510979273593
QLD1,statistical_control,8,0.8,0.9,319,0.8539799442542854,0.8840125391849529,-3.0032594930667567
QLD1,statistical_control,9,0.9,1.0,745,0.957964168377488,0.9731543624161074,-1.5190194038619431
SA1,statistical_control,0,0.0,0.1,4484,0.03725084698114498,0.030999107939339875,0.6251739041805107
SA1,statistical_control,1,0.1,0.2,809,0.1391893393837477,0.1915945611866502,-5.24052218029025
SA1,statistical_control,2,0.2,0.3,411,0.24652468147498652,0.2895377128953771,-4.301303142039059
SA1,statistical_control,3,0.3,0.4,313,0.34887718620505725,0.4185303514376997,-6.965316523264242
SA1,statistical_control,4,0.4,0.5,304,0.4486943748296785,0.47368421052631576,-2.4989835696637264
SA1,statistical_control,5,0.5,0.6,294,0.5480484285437752,0.5612244897959183,-1.31760612521431
SA1,statistical_control,6,0.6,0.7,220,0.6484196066222528,0.6954545454545454,-4.703493883229259
SA1,statistical_control,7,0.7,0.8,253,0.750166308134306,0.7351778656126482,1.4988442521657763
SA1,statistical_control,8,0.8,0.9,419,0.8559084395887516,0.8210023866348448,3.4906052953906808
SA1,statistical_control,9,0.9,1.0,1277,0.9606988868724907,0.9600626468285043,0.06362400439864357
VIC1,statistical_control,0,0.0,0.1,4805,0.037397871092925056,0.033506763787721126,0.3891107305203929
VIC1,statistical_control,1,0.1,0.2,754,0.13945556964621147,0.20424403183023873,-6.478846218402726
VIC1,statistical_control,2,0.2,0.3,444,0.24832473296397067,0.32207207207207206,-7.374733910810138
VIC1,statistical_control,3,0.3,0.4,289,0.34609320393145193,0.4809688581314879,-13.487565420003595
VIC1,statistical_control,4,0.4,0.5,270,0.44814979470855865,0.43333333333333335,1.4816461375225298
VIC1,statistical_control,5,0.5,0.6,277,0.5520773247037305,0.5884476534296029,-3.6370328725872425
VIC1,statistical_control,6,0.6,0.7,223,0.6513091930067999,0.6367713004484304,1.4537892558369458
VIC1,statistical_control,7,0.7,0.8,246,0.7510969303445896,0.7642276422764228,-1.3130711931833239
VIC1,statistical_control,8,0.8,0.9,349,0.853694121562605,0.8080229226361032,4.567119892650185
VIC1,statistical_control,9,0.9,1.0,1127,0.9617575128881305,0.9600709849157054,0.1686527972425078
pooled,renewable_candidate,0,0.0,0.1,21173,0.022608045312570702,0.023189911679969772,-0.05818663673990698
pooled,renewable_candidate,1,0.1,0.2,2601,0.14333413805688108,0.1845444059976932,-4.121026794081212
pooled,renewable_candidate,2,0.2,0.3,1547,0.24674330284782975,0.29993535875888816,-5.319205591105841
pooled,renewable_candidate,3,0.3,0.4,1142,0.3485818861059658,0.37828371278458844,-2.9701826678622645
pooled,renewable_candidate,4,0.4,0.5,936,0.447492281521757,0.4636752136752137,-1.6182932153456675
pooled,renewable_candidate,5,0.5,0.6,883,0.5512330680385807,0.5526613816534541,-0.14283136148733888
pooled,renewable_candidate,6,0.6,0.7,894,0.6521942270098782,0.6420581655480985,1.01360614617797
pooled,renewable_candidate,7,0.7,0.8,954,0.7515375935512786,0.7085953878406709,4.2942205710607695
pooled,renewable_candidate,8,0.8,0.9,1334,0.8564525779886332,0.8095952023988006,4.685737558983261
pooled,renewable_candidate,9,0.9,1.0,3672,0.9585667335941802,0.9468954248366013,1.1671308757578935
NSW1,renewable_candidate,0,0.0,0.1,6440,0.014374219106195978,0.03152173913043478,-1.7147520024238805
NSW1,renewable_candidate,1,0.1,0.2,551,0.14522401623913928,0.2250453720508167,-7.982135581167743
NSW1,renewable_candidate,2,0.2,0.3,390,0.24759504874391525,0.2641025641025641,-1.650751535864886
NSW1,renewable_candidate,3,0.3,0.4,238,0.34624319660108305,0.3445378151260504,0.17053814750326302
NSW1,renewable_candidate,4,0.4,0.5,183,0.44979351286738534,0.43169398907103823,1.8099523796347106
NSW1,renewable_candidate,5,0.5,0.6,168,0.552054995267766,0.5,5.205499526776602
NSW1,renewable_candidate,6,0.6,0.7,160,0.6510010395580699,0.575,7.600103955806992
NSW1,renewable_candidate,7,0.7,0.8,159,0.7464268601477578,0.5849056603773585,16.152119977039938
