dataset,table_name,period,source_url,downloaded_at_utc,local_path,sha256,bytes,status
price,DISPATCHPRICE,2021-08,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2021/MMSDM_2021_08/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202108010000.zip,2026-08-23T05:08:13.756310+00:00,data/raw/aemo_history/price/2021-08.zip,50e385214eeace2656c8f0a9a8210b74cfc04f6855cd5aa936d5e669ce9b7d09,2118590,downloaded
price,DISPATCHPRICE,2021-09,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2021/MMSDM_2021_09/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202109010000.zip,2026-08-23T05:08:18.942700+00:00,data/raw/aemo_history/price/2021-09.zip,233b55e728cdfbe8e20811c8ad1cb373695cd277241e070c9c55acb64aefc41f,2252979,downloaded
price,DISPATCHPRICE,2021-10,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2021/MMSDM_2021_10/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202110010000.zip,2026-08-23T05:08:23.694206+00:00,data/raw/aemo_history/price/2021-10.zip,d44cd57a25af1a2bccfe61fedcd031ba26ee08f6136d5f950f52f45144c49ea5,2142104,downloaded
price,DISPATCHPRICE,2021-11,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2021/MMSDM_2021_11/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202111010000.zip,2026-08-23T05:08:28.569793+00:00,data/raw/aemo_history/price/2021-11.zip,683b2035050a67c2dfe6b88f180518e6381a2d79a30dbcf801d07a6053e9d310,2029601,downloaded
price,DISPATCHPRICE,2021-12,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2021/MMSDM_2021_12/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202112010000.zip,2026-08-23T05:08:33.275595+00:00,data/raw/aemo_history/price/2021-12.zip,159e388acbcc24d9f29e58449eb72ed320b0a2e6e0351ea041981f567216ea7b,1862571,downloaded
price,DISPATCHPRICE,2022-01,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2022/MMSDM_2022_01/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202201010000.zip,2026-08-23T05:08:39.128245+00:00,data/raw/aemo_history/price/2022-01.zip,c81dc510b5bdf5cb38289efd8024f267a84e9c68af8fa6f55b5b66ff7aa2bbfb,1755736,downloaded
price,DISPATCHPRICE,2022-02,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2022/MMSDM_2022_02/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202202010000.zip,2026-08-23T05:08:43.756152+00:00,data/raw/aemo_history/price/2022-02.zip,c7c2894e2540df09fe76862df89116abe248d3fafef72932ce67edc5b510316f,1725795,downloaded
price,DISPATCHPRICE,2022-03,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2022/MMSDM_2022_03/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202203010000.zip,2026-08-23T05:08:48.132158+00:00,data/raw/aemo_history/price/2022-03.zip,39d49675bae47f52911cc42dd26cf2e111a86484d01c6c7db29497110a32ffaf,1904457,downloaded
price,DISPATCHPRICE,2022-04,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2022/MMSDM_2022_04/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202204010000.zip,2026-08-23T05:08:52.817627+00:00,data/raw/aemo_history/price/2022-04.zip,da23031c085948d1ca85dfeddd25965e10ad1f8d29f58e74f6029e7c1cc0ddc9,1847544,downloaded
price,DISPATCHPRICE,2022-05,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2022/MMSDM_2022_05/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202205010000.zip,2026-08-23T05:08:59.876614+00:00,data/raw/aemo_history/price/2022-05.zip,b068c41e1c35191a631f996529230aa126bcdd67e09eb988ead0c8017257b30f,1947459,downloaded
