month,region,hours,mean_price_aud_mwh,median_price_aud_mwh,negative_price_hour_share,mean_renewable_share_ws,mean_intrahour_price_sd
2019-11,SA1,720,50.8623196400463,64.51065750000001,0.14444444444444443,0.7178052214079276,33.10085731434318
2019-11,TAS1,720,68.28846261342592,62.39932625,0.041666666666666664,0.1669640198968638,30.009200022610276
2019-11,VIC1,720,67.97749321875,68.37272375,0.044444444444444446,0.17005945687011342,12.298694752303659
2019-12,NSW1,744,52.08880257056452,50.43962,0.0,0.10786815089294187,5.881988374499393
2019-12,QLD1,744,54.828220715725806,52.44344208333334,0.0013440860215053765,0.08168291576820436,9.56711914185523
2019-12,SA1,744,84.0338527329749,54.74239625,0.07258064516129033,0.6020011162300204,45.97297441953218
2019-12,TAS1,744,52.18248094758065,52.127314166666665,0.06048387096774194,0.144374033272511,14.715340219685269
2019-12,VIC1,744,61.390173680555556,51.523511666666664,0.09005376344086022,0.16236218058570429,26.06517265765211
2020-01,NSW1,744,152.30453444668458,50.776927916666665,0.009408602150537635,0.08770158495865568,92.49794171377036
2020-01,QLD1,744,66.78879211805555,50.72295416666667,0.013440860215053764,0.05886945034282414,41.74788897437518
2020-01,SA1,744,83.20360527553763,55.51732666666667,0.06720430107526881,0.6489972511722417,40.533777911773406
2020-01,TAS1,744,56.84046546594982,60.090881249999995,0.043010752688172046,0.12520186112468923,14.385887381243835
2020-01,VIC1,744,142.95465078068995,52.73520958333333,0.06048387096774194,0.1497124076821863,71.80639635904284
2020-02,NSW1,696,57.50137468989463,49.18269291666667,0.0014367816091954023,0.09957445044575226,13.932661511585838
2020-02,QLD1,696,53.81405816331417,48.42729541666667,0.0014367816091954023,0.06003955973364219,7.724281555999541
2020-02,SA1,696,64.17696649185824,50.45922041666667,0.1853448275862069,0.46116863547548437,58.17566483889624
2020-02,TAS1,696,39.09949962883142,41.00364916666667,0.11494252873563218,0.15393933317480352,18.400413747839924
2020-02,VIC1,696,48.305957586206894,46.13150791666666,0.027298850574712645,0.12925889068415766,8.194285182228487
2020-03,NSW1,744,46.16458588821684,43.85309875,0.002688172043010753,0.0971191070789865,5.313135521872826
2020-03,QLD1,744,41.272052131496416,39.567022916666666,0.02956989247311828,0.08207416830153279,8.706400710646232
2020-03,SA1,744,46.95176400985663,43.647767916666666,0.09274193548387097,0.6629955791550688,35.90663198100798
2020-03,TAS1,744,37.36566764672939,39.3055625,0.04838709677419355,0.11900996024102618,11.241498671787532
2020-03,VIC1,744,43.30338164314516,43.60118333333333,0.041666666666666664,0.17275599302403338,6.10739530634563
