month,region,hours,mean_demand_mw,mean_wind_mw,mean_solar_utility_mw,mean_hydro_mw,mean_renewable_share_ws,mean_renewable_share_broad
2019-10,SA1,744,1126.3901433691758,671.7217212772177,61.60680779569892,0.0,0.6936655452242142,0.6936655452242142
2019-10,TAS1,744,1002.2344097222223,126.69358336603942,0.0,774.2570013934812,0.13146817608269332,0.8916500867744609
2019-10,VIC1,744,4622.431237679211,568.9378314148746,85.39292998879928,116.34883163530466,0.14697740541697685,0.17068917777369927
2019-11,NSW1,720,7410.260914351852,599.8532021844908,249.3888931263889,199.43373968055553,0.11560177823614128,0.14095565653816328
2019-11,QLD1,720,6249.377481481482,90.13783404861111,454.6487558766203,44.7396152488426,0.08851805512874553,0.0948698889114901
2019-11,SA1,720,1111.2706030092593,681.8250943216435,53.63295451388889,0.0,0.7178052214079276,0.7178052214079276
2019-11,TAS1,720,1030.5184780092593,168.39692136747686,0.0,1020.4308614113427,0.1669640198968638,1.1562081841653369
2019-11,VIC1,720,4516.209589120371,667.5206692208333,98.30651701388888,123.94272956018517,0.17005945687011342,0.1945602456868768
2019-12,NSW1,744,7631.589801747312,544.8745698627912,276.5185538249328,136.13370318212367,0.10786815089294187,0.124367875660564
2019-12,QLD1,744,6652.075527553763,81.24059780241936,461.0540165930779,35.861319945116485,0.08168291576820436,0.08643808486378965
2019-12,SA1,744,1348.8322457437275,636.6384599351478,79.62627253808245,0.0,0.6020011162300204,0.6020011162300204
2019-12,TAS1,744,1009.559122983871,142.97552044298834,0.0,1000.2012191367609,0.144374033272511,1.1306300753480008
2019-12,VIC1,744,4597.441170474911,627.7067787122536,100.2202773297491,161.84542507392473,0.16236218058570429,0.1909137543224839
2020-01,NSW1,744,8264.216301523298,465.9409429740144,246.81684005253138,311.406604640457,0.08770158495865568,0.12146448688531802
2020-01,QLD1,744,6941.226804435483,62.725908825044804,346.4064975670923,53.71263042114695,0.05886945034282414,0.06599335971902887
2020-01,SA1,744,1268.798057795699,673.0431345567875,79.19653192204301,0.0,0.6489972511722417,0.6489972511722417
2020-01,TAS1,744,1040.345448028674,127.37360187959229,0.0,821.6081944103943,0.12520186112468923,0.9060676411675599
2020-01,VIC1,744,4765.54492719534,596.6274829467966,92.11865707437276,260.2575049596774,0.1497124076821863,0.19543169004409405
2020-02,NSW1,696,7945.958034003832,542.5948190836925,238.25673759363028,326.225172608956,0.09957445044575226,0.13812434941062826
2020-02,QLD1,696,6952.237347940613,60.012467599377395,365.3892925688458,64.17538769755747,0.06003955973364219,0.06900127207678029
2020-02,SA1,696,1207.5707243773945,478.1180045450191,64.69493055555556,0.0,0.46116863547548437,0.46116863547548437
2020-02,TAS1,696,1024.7374580938697,153.91827990529217,0.0,882.8677808931992,0.15393933317480352,0.997653233496191
2020-02,VIC1,696,4763.386139846743,508.55479907231796,91.19437093510537,233.24939929837166,0.12925889068415766,0.17225608310884938
2020-03,NSW1,744,7342.0152710573475,484.83957160282256,221.75544864896955,271.9510395866935,0.0971191070789865,0.13223581543389612
2020-03,QLD1,744,6307.494047939068,126.28635379480286,381.39915399395164,67.66887925963262,0.08207416830153279,0.09232404384563334
2020-03,SA1,744,1170.3075436827958,649.986428798835,62.9827855062724,0.0,0.6629955791550688,0.6629955791550688
2020-03,TAS1,744,1006.7624081541219,116.14139905745968,0.0,970.6922090828853,0.11900996024102618,1.0718107453652872
2020-03,VIC1,744,4529.694753584229,684.8499578231407,73.77380567988351,126.2077096079749,0.17275599302403338,0.1972024903290845
2020-04,NSW1,720,6926.610148148148,503.9098864253472,176.54772601875,181.76219643981483,0.10013326088654503,0.1244813851738796
2020-04,QLD1,720,5916.365883101851,120.49458837847223,395.20285670960646,50.326847459490736,0.09024205232978741,0.09803067960662266
2020-04,SA1,720,1161.610329861111,593.0915216052083,43.02837811342592,0.0,0.5974014433115741,0.5974014433115741
2020-04,TAS1,720,1093.9124768518518,173.8739967116898,0.0,1293.3124205524305,0.1634288533290466,1.3395958991346621
2020-04,VIC1,720,4485.447137731481,626.4567113862269,57.53168659027778,178.9836800474537,0.15865119369444705,0.19340565998015438
2020-05,NSW1,744,7791.772306227598,511.80079333747756,171.57549444254033,74.37820432011648,0.09119673307954856,0.10006599485245914
