model,family,outcome,parameter,coefficient,std_error,statistic,p_value,ci_lower,ci_upper,nobs,week_clusters,region_clusters,effects,sample,covariance
inference_price_asinh,inference_driscoll_kraay,price_asinh,log_demand_centered_sq,0.9044003951163323,0.04357349441162146,20.755746293212603,2.625861279709173e-95,0.8189959504321458,0.9898048398005188,210399,314,4,region_month + timestamp,headline_sample,driscoll_kraay_bartlett_bandwidth_168_hours
inference_price_asinh,inference_two_way_benchmark,price_asinh,renewable_share_ws_10pp_winsor_p999,-0.27012364610175366,0.04578223441628987,-5.900184854360023,3.6383329682365684e-09,-0.35985586626410865,-0.18039142593939866,210399,314,4,region_month + timestamp,headline_sample,two_way_region_and_aest_week_debiased_four_region_benchmark
inference_price_asinh,inference_two_way_benchmark,price_asinh,log_demand_centered,5.339630825931071,1.072694834317587,4.9777724802114545,6.438789224016972e-07,3.2371714272749434,7.442090224587198,210399,314,4,region_month + timestamp,headline_sample,two_way_region_and_aest_week_debiased_four_region_benchmark
inference_price_asinh,inference_two_way_benchmark,price_asinh,log_demand_centered_sq,0.9044003951163323,0.2889008960491783,3.130486639135866,0.0017454882530603122,0.33816069231662504,1.4706400979160397,210399,314,4,region_month + timestamp,headline_sample,two_way_region_and_aest_week_debiased_four_region_benchmark
exposure_headline_p999_negative_price_any,exposure_headline_p999,negative_price_any,renewable_share_ws_10pp_winsor_p999,0.03576899977956606,0.0013774834950320794,25.966917141706336,0.0,0.033069160992268934,0.03846883856686319,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_headline_p999_negative_price_any,exposure_headline_p999,negative_price_any,log_demand_centered,-0.5572156609708213,0.02007789394147733,-27.75269470966343,0.0,-0.596567912395929,-0.5178634095457136,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_headline_p999_negative_price_any,exposure_headline_p999,negative_price_any,log_demand_centered_sq,-0.11791831249357312,0.004817111654263444,-24.479049056130567,0.0,-0.12735975040105135,-0.1084768745860949,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_raw_uncapped_negative_price_any,exposure_raw_uncapped,negative_price_any,renewable_share_ws_10pp,0.0021029435028886603,0.0014799389917031676,1.4209663470441551,0.15532852285582233,-0.0007977059110925652,0.005003592916869886,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_raw_uncapped_negative_price_any,exposure_raw_uncapped,negative_price_any,log_demand_centered,-0.710629644230378,0.01861242261104598,-38.180394840628544,0.0,-0.7471096025544505,-0.6741496859063055,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_raw_uncapped_negative_price_any,exposure_raw_uncapped,negative_price_any,log_demand_centered_sq,-0.11314787601286906,0.004355707475751013,-25.976922610800457,0.0,-0.12168497139845028,-0.10461078062728785,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_cap_at_one_negative_price_any,exposure_cap_at_one,negative_price_any,renewable_share_ws_10pp_cap1,0.04418847217134153,0.0015598078187526252,28.32943369054205,0.0,0.04113128152986703,0.04724566281281603,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_cap_at_one_negative_price_any,exposure_cap_at_one,negative_price_any,log_demand_centered,-0.5592405654666202,0.019345859334856424,-28.907507068399273,0.0,-0.5971580444013664,-0.5213230865318739,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_cap_at_one_negative_price_any,exposure_cap_at_one,negative_price_any,log_demand_centered_sq,-0.08839041608260044,0.0037922481425359633,-23.30818363154151,0.0,-0.09582314298147021,-0.08095768918373067,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_broad_including_hydro_negative_price_any,exposure_broad_including_hydro,negative_price_any,renewable_share_broad_10pp,0.0020557040899110315,0.0014364987915534166,1.4310517363457105,0.15241737217063545,-0.0007598034419966692,0.004871211621818732,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
