model,family,outcome,contrast,estimate,std_error,t_stat,p_value,ci_lower,ci_upper,nobs,week_clusters,sample_flag,heterogeneity_family,p_value_holm
heterogeneity_difference_season_negative_price_any,heterogeneity_difference_season,negative_price_any,MAM_minus_SON,0.0034985761827825597,0.003045767473943521,1.1486681805859469,0.25156989117839895,-0.002494190676808725,0.009491343042373843,210399,314,headline_sample,season,0.25156989117839895
heterogeneity_difference_season_negative_price_any,heterogeneity_difference_season,negative_price_any,JJA_minus_SON,0.014316773977686456,0.0031076151447803676,4.606997105717317,5.953244047448653e-06,0.008202317371486223,0.02043123058388669,210399,314,headline_sample,season,2.9766220237243267e-05
heterogeneity_difference_season_intrahour_price_sd_asinh,heterogeneity_difference_season,intrahour_price_sd_asinh,DJF_minus_MAM,-0.021845424943709574,0.010209898121011772,-2.139632020299215,0.033157608882182645,-0.04193413480841321,-0.0017567150790059431,210399,314,headline_sample,season,0.13263043552873058
heterogeneity_difference_season_intrahour_price_sd_asinh,heterogeneity_difference_season,intrahour_price_sd_asinh,DJF_minus_JJA,-0.03679204447847084,0.010903511899211729,-3.3743297405976813,0.0008330581262153994,-0.058245489405490555,-0.015338599551451133,210399,314,headline_sample,season,0.004998348757292396
heterogeneity_difference_season_intrahour_price_sd_asinh,heterogeneity_difference_season,intrahour_price_sd_asinh,DJF_minus_SON,-0.035061438325399694,0.011065248056158227,-3.1686084349357793,0.0016829872246402415,-0.0568331107893665,-0.013289765861432885,210399,314,headline_sample,season,0.008414936123201208
heterogeneity_difference_season_intrahour_price_sd_asinh,heterogeneity_difference_season,intrahour_price_sd_asinh,MAM_minus_JJA,-0.014946619534761268,0.010700577503632515,-1.396804941573233,0.16346180476940758,-0.036000776423248046,0.006107537353725514,210399,314,headline_sample,season,0.49038541430822274
heterogeneity_difference_season_intrahour_price_sd_asinh,heterogeneity_difference_season,intrahour_price_sd_asinh,MAM_minus_SON,-0.01321601338169012,0.011137889581877182,-1.1865814690059704,0.2362926067731699,-0.035130613279114306,0.008698586515734064,210399,314,headline_sample,season,0.49038541430822274
heterogeneity_difference_season_intrahour_price_sd_asinh,heterogeneity_difference_season,intrahour_price_sd_asinh,JJA_minus_SON,0.0017306061530711486,0.01167412951908203,0.14824284330941973,0.882246576826374,-0.021239084440528126,0.024700296746670423,210399,314,headline_sample,season,0.882246576826374
heterogeneity_difference_post_5ms_price_asinh,heterogeneity_difference_post_5ms,price_asinh,pre_5ms_minus_post_5ms,0.03041014987554116,0.020836101081916008,1.459493297521705,0.14543225524433062,-0.010586379608415037,0.07140667935949736,210399,314,headline_sample,post_5ms,0.14543225524433062
heterogeneity_difference_post_5ms_negative_price_any,heterogeneity_difference_post_5ms,negative_price_any,pre_5ms_minus_post_5ms,0.0026959221196491585,0.002525893677736439,1.0673141721725552,0.28665250754916705,-0.002273955604861197,0.007665799844159514,210399,314,headline_sample,post_5ms,0.28665250754916705
heterogeneity_difference_post_5ms_intrahour_price_sd_asinh,heterogeneity_difference_post_5ms,intrahour_price_sd_asinh,pre_5ms_minus_post_5ms,0.114086948111684,0.0068797210822699574,16.583077532852702,9.174952390999985e-45,0.10055060140834292,0.1276232948150251,210399,314,headline_sample,post_5ms,9.174952390999985e-45
