region,share_bin,observations,mean_renewable_share_ws,mean_price_aud_mwh,median_price_aud_mwh,negative_price_hour_share,mean_intrahour_price_sd
QLD1,"(0.0995, 0.119]",2617,0.10874658377537648,107.37274279040885,81.16811166666666,0.040504394344669466,50.71340473402689
QLD1,"(0.119, 0.139]",2349,0.1286065267520827,90.66577201717043,69.38299166666667,0.06683695189442315,39.91911655164099
QLD1,"(0.139, 0.162]",2217,0.1506522375013491,84.05023375131559,57.56826916666666,0.11141181777176365,47.907402419004754
QLD1,"(0.162, 0.186]",2278,0.1740849774859428,70.10340430238513,47.02807541666667,0.15935030728709393,33.563482824006044
QLD1,"(0.186, 0.212]",2512,0.1989277034899106,57.494498943073246,38.938705416666664,0.23527070063694266,24.955760616576274
QLD1,"(0.212, 0.243]",2226,0.22688292815360186,52.480086878556456,38.45186291666667,0.25965858041329737,21.94553427886359
QLD1,"(0.243, 0.28]",1752,0.26073681628115475,56.92888134417808,50.93978249999999,0.2973744292237443,24.410289659866883
QLD1,"(0.28, 0.321]",1582,0.2999554593389633,43.294606356405396,42.63121041666667,0.4083438685208597,25.107850309172196
QLD1,"(0.321, 0.37]",1784,0.3449090958690605,23.50362781903961,28.4121325,0.5263452914798207,19.24896160965807
QLD1,"(0.37, 0.429]",2050,0.3980567494075097,7.185257862195122,8.357015416666666,0.6917073170731707,15.435447180963687
QLD1,"(0.429, 0.514]",1686,0.46343727965555837,-4.697637049723211,-10.777638333333332,0.8434163701067615,12.49333378519891
QLD1,"(0.514, 0.681]",307,0.5440195267867145,-9.356443504343105,-16.190214166666667,0.9153094462540716,9.413322935386509
SA1,"(-0.001, 0.0213]",292,0.012451898003566173,393.4020449657534,194.30488874999998,0.003424657534246575,183.7791210770931
SA1,"(0.0213, 0.0371]",312,0.02910373437116146,410.75426834935894,188.32310333333334,0.0,171.49311758688853
SA1,"(0.0371, 0.0515]",342,0.04441958334546065,373.25217580896685,175.04029208333333,0.008771929824561403,166.1880536949249
SA1,"(0.0515, 0.066]",401,0.058666670624159784,356.442960347049,179.67472833333332,0.0,183.87615286938345
SA1,"(0.066, 0.0821]",503,0.07376202530954584,286.3021155467197,153.44930833333333,0.0019880715705765406,147.31774545552747
SA1,"(0.0821, 0.0995]",569,0.09079030383994986,279.45648451083775,156.007275,0.0035149384885764497,148.58147897462442
SA1,"(0.0995, 0.119]",657,0.10898050360532668,276.87119072171487,146.68916666666667,0.0091324200913242,138.5433922564518
SA1,"(0.119, 0.139]",748,0.12933973380419395,200.62580606729054,139.9282225,0.008021390374331552,70.12944346475804
SA1,"(0.139, 0.162]",816,0.1510241056600631,219.87582747038397,133.21865958333333,0.007352941176470588,97.56703650673364
SA1,"(0.162, 0.186]",970,0.17426576272053804,210.46962882560138,125.77761375,0.01134020618556701,99.3111715869023
SA1,"(0.186, 0.212]",1154,0.1992818156596829,190.86891946418254,129.89010666666667,0.010398613518197574,63.95245687312136
SA1,"(0.212, 0.243]",1335,0.22798957306668463,168.6366793420724,107.25102416666665,0.02397003745318352,68.45927662776774
SA1,"(0.243, 0.28]",1700,0.2612714498436991,148.38984054215686,105.86462666666667,0.02823529411764706,46.635062695145486
SA1,"(0.28, 0.321]",1895,0.30022682715861576,141.78836368381707,99.02856750000001,0.03746701846965699,53.56081153107655
SA1,"(0.321, 0.37]",2133,0.34541033745345107,124.12891357829348,95.1367025,0.04688232536333802,40.12093481963315
SA1,"(0.37, 0.429]",2670,0.3993759158538193,115.83844107459426,87.39603333333332,0.060299625468164794,42.6845086772308
SA1,"(0.429, 0.514]",3862,0.47172922792438615,93.31009207621267,77.8866625,0.10046607975142413,29.103206471244295
SA1,"(0.514, 0.681]",7346,0.598407457429245,80.92091128947727,64.98415833333334,0.15069425537707595,32.2319082874332
SA1,"(0.681, 0.967]",11728,0.8212750694154686,48.83741321978741,42.721963333333335,0.2856412005457026,26.18974476583983
SA1,"(0.967, 392.9]",13142,1.3360841116972275,-4.518087705321362,-5.279633333333333,0.6721199208644042,29.029234715691487
TAS1,"(-0.001, 0.0213]",3938,0.010476300193620992,131.25903682283732,87.79149000000001,0.0228542407313357,33.01475323837565
TAS1,"(0.0213, 0.0371]",3259,0.02922638062967268,107.80421237163752,77.80695083333333,0.02976373120589138,28.025189516854454
TAS1,"(0.0371, 0.0515]",2937,0.04421378115975699,101.27388709766201,75.9476725,0.02519577800476677,25.20887862845862
TAS1,"(0.0515, 0.066]",2675,0.05877652186331688,95.10955021152648,74.33357500000001,0.03177570093457944,19.731979606556376
TAS1,"(0.066, 0.0821]",2669,0.07397024378715794,95.47923238385162,70.63469083333334,0.038965904833270885,26.808962170787076
TAS1,"(0.0821, 0.0995]",2857,0.09075369893708445,85.56542209689651,65.60441916666666,0.03815190759537977,21.831806456903657
TAS1,"(0.0995, 0.119]",2989,0.1089576120254257,82.17080014804283,61.74820666666667,0.04784208765473402,20.789692896014373
TAS1,"(0.119, 0.139]",3043,0.1293314521111037,81.6462757815752,59.23427166666667,0.05389418337167269,18.50709499075103
TAS1,"(0.139, 0.162]",3134,0.15055094519874765,80.49330680786004,58.045518333333334,0.06381620931716656,17.55516545113001
TAS1,"(0.162, 0.186]",3215,0.17371833316011662,81.45351958579575,55.26262666666667,0.09175738724727839,24.3636708735349
TAS1,"(0.186, 0.212]",3216,0.19864041752214523,72.72013697268864,51.585069583333336,0.09390547263681592,22.809213787718896
TAS1,"(0.212, 0.243]",3313,0.2277132587959914,68.75913798294597,51.30559083333333,0.10896468457591307,20.20613941297552
TAS1,"(0.243, 0.28]",3600,0.261043823857236,63.06322460231481,45.28024666666667,0.13833333333333334,18.610228462316837
TAS1,"(0.28, 0.321]",3599,0.2996897199184347,56.59355188246735,38.7047275,0.1747707696582384,18.354364230006638
TAS1,"(0.321, 0.37]",3284,0.3441264907676001,48.25528963332318,33.79343541666667,0.243605359317905,15.549196151517233
TAS1,"(0.37, 0.429]",2822,0.3964859953954415,39.746925005315376,25.057877083333334,0.34301913536498935,17.357185950183922
TAS1,"(0.429, 0.514]",1749,0.46272458009155354,32.40943209691252,20.500833333333333,0.37392795883361923,14.527971272797142
TAS1,"(0.514, 0.681]",309,0.5392718938870237,24.006385318230855,15.143799166666668,0.39158576051779936,11.889247652009542
VIC1,"(-0.001, 0.0213]",1344,0.011851661503705656,282.3453979873512,129.68644291666666,0.002976190476190476,121.95406038806743
VIC1,"(0.0213, 0.0371]",1403,0.02948797519062217,163.67432445652173,110.3913275,0.0042765502494654314,51.916825443766896
VIC1,"(0.0371, 0.0515]",1421,0.04448918086645055,145.28081961705374,106.839345,0.007037297677691766,39.11922504307719
VIC1,"(0.0515, 0.066]",1691,0.05901610987543034,139.91733841513897,99.71377749999999,0.0059136605558840925,33.085641087309874
VIC1,"(0.066, 0.0821]",1844,0.07416054768002497,134.4808748264642,93.28641291666666,0.0070498915401301515,31.120774922270808
VIC1,"(0.0821, 0.0995]",2015,0.0907868527744599,120.04404254797353,92.26486583333333,0.00794044665012407,19.69938309765199
VIC1,"(0.0995, 0.119]",2390,0.1091975721591718,111.85282164470014,84.45786000000001,0.020502092050209204,22.610089432050867
VIC1,"(0.119, 0.139]",2563,0.12904918742060947,105.69967685589803,77.24177666666667,0.02887241513850956,24.677335001601932
VIC1,"(0.139, 0.162]",2907,0.15075905654355617,97.75258523936475,73.84167833333333,0.032679738562091505,17.317370492605153
VIC1,"(0.162, 0.186]",3166,0.17393769875019155,87.65112772320488,68.99630375000001,0.065698041692988,16.586071920629664
VIC1,"(0.186, 0.212]",3378,0.19912965739564512,85.48868282983028,61.250915416666665,0.09828300769686205,18.90171585547827
VIC1,"(0.212, 0.243]",3653,0.22757156012574406,70.82560996007847,56.667075833333335,0.14098001642485627,18.35268590529076
VIC1,"(0.243, 0.28]",3780,0.26113751445187877,63.72605355335097,52.03617166666667,0.1761904761904762,16.183505061969427
VIC1,"(0.28, 0.321]",3941,0.29980222411963725,55.61093188107925,44.486424166666666,0.23242831768586653,16.212097575328254
VIC1,"(0.321, 0.37]",4032,0.34446739739185317,48.233911736317786,35.510677916666666,0.3169642857142857,16.4128912305384
VIC1,"(0.37, 0.429]",3772,0.39800062998967445,39.39913087597208,23.73342541666667,0.405355249204666,17.98687095140331
VIC1,"(0.429, 0.514]",4041,0.46911737485024707,21.394475684649017,9.160034166666668,0.5355110121257115,17.87665587101413
VIC1,"(0.514, 0.681]",3978,0.5837518763459346,-3.4998426589994973,-3.8482495833333332,0.7001005530417295,14.188746090255515
VIC1,"(0.681, 0.967]",1281,0.7556346471298262,-17.69052136481915,-20.083333333333332,0.87743950039032,8.966173800786867
VIC1,"(0.967, 392.9]",8,0.9905932709998978,-30.093891145833332,-27.029183749999998,1.0,4.491786505448374
